OutlierMethod,RMS used,Filter Type,Filter order,low,high,
STD 2,1,Chebyshev 2,3,200,500 
CH1,CH2,CH3,CH4,CH5 
-0.168640,0.005997,0.148956,0.008560,0.007553
-0.147629,-0.021149,0.070450,0.020096,0.008560
-0.118423,-0.031631,0.061752,0.012543,0.002975
-0.065826,-0.051041,-0.027695,0.005951,0.001419
-0.034149,-0.048431,-0.013229,-0.001419,-0.004486
-0.055069,-0.026047,0.011581,0.001328,-0.003342
-0.076630,0.004578,-0.141129,0.009338,-0.003159
-0.102127,0.015701,-0.358887,0.002975,-0.003067
-0.147125,0.010574,-0.362869,0.004211,-0.001785
-0.086151,-0.027008,-0.308670,0.003067,0.000275
0.033051,-0.066650,-0.116867,0.008194,-0.004166
0.094070,-0.087570,0.083084,0.005951,-0.003525
0.098923,-0.054382,0.180084,-0.001602,-0.002151
0.079376,-0.002014,0.193314,0.002563,0.004578
-0.049805,0.065918,0.226913,0.001923,0.009750
-0.150513,0.119156,0.178436,-0.006729,0.008331
-0.241974,0.127670,0.170792,-0.004852,0.010986
-0.269943,0.083633,0.146347,0.007507,0.007645
-0.102539,0.025635,-0.275116,0.008240,0.006134
0.078827,-0.006775,-0.631302,0.007187,0.010254
0.260971,-0.024673,-0.485939,-0.006500,0.006180
0.338333,-0.046555,-0.340576,-0.001968,0.008926
0.397614,-0.056900,0.067383,-0.002060,0.008560
0.357376,-0.066696,0.242935,0.013504,0.008331
0.317139,-0.081802,0.114990,0.013138,0.004303
0.145889,-0.085052,0.035477,0.004257,0.000320
0.040558,-0.074203,0.091141,-0.001465,-0.003571
-0.055344,-0.051910,0.197525,-0.004623,-0.002060
-0.124420,-0.027145,0.342407,-0.003754,-0.000687
-0.179352,0.004715,0.297775,-0.013870,-0.004440
-0.164703,0.044769,0.126984,-0.023758,0.001053
-0.183243,0.085648,-0.110641,0.002426,0.001190
-0.153580,0.108582,0.052414,0.003250,0.000275
-0.065140,0.095764,0.324738,0.001648,-0.002838
0.055298,0.076767,0.439774,-0.007187,-0.000870
0.141357,0.030533,0.368912,-0.020370,0.000229
0.158203,-0.024582,0.142181,-0.015701,-0.002884
0.060150,-0.065781,-0.228424,0.003891,-0.003525
-0.083633,-0.074844,-0.499557,0.015610,-0.002518
-0.137421,-0.083084,-0.638924,0.018127,-0.001602
-0.136597,-0.083176,-0.513874,0.021378,0.002335
-0.132935,-0.041245,-0.388824,0.009109,0.003250
-0.096497,0.016525,-0.165985,0.003616,0.003250
